result_id,method_id,dataset,protocol_id,seed,seeds,aggregation,selection_split,soft_acc,hard_acc,acc_gap,final_hard_acc,best_hard_acc,train_time_s,budget,unused_gate_ratio,gate_count,depth,fanout_max,runtime_compliance,float_tensor_count,audit_ops,training_health,decision,evidence,soft_loss,hard_loss,loss_gap,test_soft_acc,test_hard_acc,test_acc_gap,inactive_neuron_ratio,protocol_sha256,deployment_payload_sha256
full_discrete_d12e192,full_discrete_a8,cifar10,full_discrete_d12e192_50k_s42,42,1,single run,validation,,0.7610,,0.7610,0.7630,14838.189,50000 steps,,,,,hard_checkpoint_not_full_audited,,,pass,screen,../docs/repro/scalelogic_50k_complete_20260723/d12e192_result.json,,,,,,,,,
scalelogic_local0,scalelogic_d12,cifar10,scalelogic_d12e384_50k_s42,42,1,single run,validation,,0.7080,,0.7080,0.7114,20086.884,50000 steps,,,,,operator_audited_prefix,0,614916,pass,reject,../docs/repro/scalelogic_50k_complete_20260723/local0_result.json,,,,,,,,,
scalelogic_local4,scalelogic_d12,cifar10,scalelogic_d12e384_50k_s42,42,1,single run,validation,,0.7162,,0.7162,0.7168,24227.729,50000 steps,,,,,operator_audited_prefix,0,614916,pass,reject,../docs/repro/scalelogic_50k_complete_20260723/local4_result.json,,,,,,,,,
logic_tree_local1,logic_tree_local,cifar10,full_discrete_logic_tree_50k_s42,42,1,single run,validation,,0.7576,,0.7576,0.7576,,50000 steps,,,,,hard_payload_not_full_executor,,,no_hard_table_change,reject,../vit_lgn/full_discrete/README.md,,,,,,,,,
attention_clean_200k,attention_clean_ceiling,cifar10,attention_clean_aug_200k_s0,0,1,single run,test,,0.7893,,0.7893,0.7913,,200000 steps,,,,,contains_real_values,,,pass,ceiling,../docs/repro/scalelogic_50k_complete_20260723/README.md,,,,,,,,,
combine_stage598,vit_lgn_combine_stage598,cifar10,combine_stage598_30k_s_selected,0,1,single run,test,,0.3620,,0.3620,0.3716,,30001 steps,,,,,contains_real_values,,,late_valid_drop,screen,https://github.com/Vector-GitHub/ViT-LGN/commit/85dfd45865a3679c2f8c59ab09ef95337a0da4d4,,,,,,,,,
count_message_majority_s0,bitstate_progressive,cifar10,bitstate_count_message_10k_8e_s012,0,3,paired seed,validation,0.1945,0.2105,0.0160,0.2090,0.2105,207.972,8 epochs,0.010350,14976,9,228,operator_audited_bool_int,0,205,pass,baseline,../docs/repro/bitstate_count_message_screen_20260723/README.md,2.205183,2.168988,0.036196,0.1965,0.2090,0.0125,0.001202,d2e6aad30dd77d2aca41f2843578cb9459ec5c436a46ab1651a84c23c0b4d9a7,530759bd615c63092925787bb04b2ba4ca054c39987d21d8548b0a0b544c64fd
count_message_majority_s1,bitstate_progressive,cifar10,bitstate_count_message_10k_8e_s012,1,3,paired seed,validation,0.1945,0.1925,0.0020,0.1955,0.1925,158.244,8 epochs,0.010216,14976,9,228,operator_audited_bool_int,0,205,pass,baseline,../docs/repro/bitstate_count_message_screen_20260723/README.md,2.193935,2.192635,0.001300,0.2010,0.1955,0.0055,0.000801,d2e6aad30dd77d2aca41f2843578cb9459ec5c436a46ab1651a84c23c0b4d9a7,5ef1205bec0c367474f8ad75436aec8f04b429feb0c085103efb1ff99047a8d7
count_message_majority_s2,bitstate_progressive,cifar10,bitstate_count_message_10k_8e_s012,2,3,paired seed,validation,0.1640,0.1990,0.0350,0.2055,0.1990,208.294,8 epochs,0.007946,14976,9,228,operator_audited_bool_int,0,205,pass,baseline,../docs/repro/bitstate_count_message_screen_20260723/README.md,2.211194,2.175260,0.035934,0.1845,0.2055,0.0210,0.000935,d2e6aad30dd77d2aca41f2843578cb9459ec5c436a46ab1651a84c23c0b4d9a7,9fb540720568dbc57af1d38de8739b0e01c6692c116fc9f0bd7c00a8b4b1ea31
count_message_v0_s0,bitstate_count_message_v0,cifar10,bitstate_count_message_10k_8e_s012,0,3,paired seed,validation,0.2005,0.2070,0.0065,0.2110,0.2070,209.962,8 epochs,0.011952,14976,9,228,operator_audited_bool_int,0,219,pass,reject,../docs/repro/bitstate_count_message_screen_20260723/README.md,2.191638,2.161308,0.030330,0.2065,0.2110,0.0045,0.002070,d2e6aad30dd77d2aca41f2843578cb9459ec5c436a46ab1651a84c23c0b4d9a7,a35068ae3374da395fc446c6a319e5e40b584b3a8085d4a17d7d34674e449107
count_message_v0_s1,bitstate_count_message_v0,cifar10,bitstate_count_message_10k_8e_s012,1,3,paired seed,validation,0.1745,0.1930,0.0185,0.2125,0.1930,129.030,8 epochs,0.010417,14976,9,228,operator_audited_bool_int,0,219,pass,reject,../docs/repro/bitstate_count_message_screen_20260723/README.md,2.209597,2.201113,0.008484,0.1895,0.2125,0.0230,0.001068,d2e6aad30dd77d2aca41f2843578cb9459ec5c436a46ab1651a84c23c0b4d9a7,f1bc9da7b5e7f9cd042966e3d62f7618623357b725e3d465b949e2435f0c0b44
count_message_v0_s2,bitstate_count_message_v0,cifar10,bitstate_count_message_10k_8e_s012,2,3,paired seed,validation,0.1840,0.2005,0.0165,0.2045,0.2005,129.366,8 epochs,0.007879,14976,9,228,operator_audited_bool_int,0,219,pass,reject,../docs/repro/bitstate_count_message_screen_20260723/README.md,2.231748,2.181233,0.050514,0.1790,0.2045,0.0255,0.001335,d2e6aad30dd77d2aca41f2843578cb9459ec5c436a46ab1651a84c23c0b4d9a7,9f027ed6dd074eb2963dc0c400dc919d2dde9fc9cf75931cbdd7779a3e6890fd
full_discrete_d12_strict,full_discrete_a8,cifar10,full_discrete_d12e192_strict_validation5000,42,1,single full strict replay,validation,,0.7610,,0.7610,0.7630,14838.189,50000 steps,,,12,768,operator_audited_bool_int,0,1960214,pass,reference,../docs/repro/full_discrete_d12_strict_20260723/README.md,,,,,,,,72c4f07bbdd533906e0b026d213ecb20768de65ddcf087a1a5fc8d4fec05bd53,51ccd7bbfab9877c9cefdc070d836620be0fbc2b985fb517c7a7ada16f28a60a
bitplane_argmax_w672_s0,bitplane_lut_argmax,sklearn_digits,bitplane_lut_digits_scale_s012_v2,0,3,paired seed,validation,0.8740740740740741,0.8962963223457336,0.022222248271659528,0.8962963223457336,0.896296296296,17.221263521991204,2x40 block epochs,0.01875,320,2,7,operator_audited_bool_int,0,224,pass,baseline,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_argmax_w672_s0/result.json,1.0212278012876157,0.9807055592536926,0.04052224203392307,0.8555555555555555,0.855555534362793,2.1192762544863797e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,a9be2593c760b520e79e0313c687c26858079fc6d35c198dd5f85c66683f924b
bitplane_argmax_w672_s1,bitplane_lut_argmax,sklearn_digits,bitplane_lut_digits_scale_s012_v2,1,3,paired seed,validation,0.8740740740740741,0.8703703880310059,0.003703686043068255,0.8703703880310059,0.87037037037,16.00183077098336,2x40 block epochs,0.01875,320,2,8,operator_audited_bool_int,0,224,pass,baseline,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_argmax_w672_s1/result.json,1.0337840892650463,0.9827806353569031,0.051003453908143204,0.8555555555555555,0.855555534362793,2.1192762544863797e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,6ab01b67cd444e4a50e85c7766be91d268876ee1d7fa13f8d5c2decaca031f20
bitplane_argmax_w672_s2,bitplane_lut_argmax,sklearn_digits,bitplane_lut_digits_scale_s012_v2,2,3,paired seed,validation,0.8592592592592593,0.8740741014480591,0.014814842188799804,0.8740741014480591,0.874074074074,16.189310968999052,2x40 block epochs,0.025,320,2,10,operator_audited_bool_int,0,224,pass,baseline,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_argmax_w672_s2/result.json,1.039253291377315,1.0020948648452759,0.037158426532039046,0.8481481481481481,0.8481481671333313,1.8985183203312772e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,dda21c67d4c210910b8f0f2f997d9ffd62b636b76389aae63ede3a3a434a5b48
bitplane_argmax_w832_s0,bitplane_lut_argmax,sklearn_digits,bitplane_lut_digits_scale_s012_v2,0,3,paired seed,validation,0.9222222222222223,0.9259259104728699,0.0037036882506475965,0.9259259104728699,0.925925925926,18.8051538419968,2x40 block epochs,0.0296875,640,2,12,operator_audited_bool_int,0,224,pass,promote,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_argmax_w832_s0/result.json,0.7069139268663195,0.654370903968811,0.05254302289750845,0.9074074074074074,0.9074074029922485,4.4151589051466544e-09,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,ffbc5fa57bfd8135fdbe966e990b54c2430648e22bf720360bc888609ba6de78
bitplane_argmax_w832_s1,bitplane_lut_argmax,sklearn_digits,bitplane_lut_digits_scale_s012_v2,1,3,paired seed,validation,0.9222222222222223,0.9074074029922485,0.014814819229973741,0.9074074029922485,0.907407407407,18.989761892997194,2x40 block epochs,0.015625,640,2,10,operator_audited_bool_int,0,224,pass,promote,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_argmax_w832_s1/result.json,0.7489579942491319,0.6752309799194336,0.0737270143296983,0.8962962962962963,0.8962963223457336,2.6049437384934038e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,8f458cac8511e9199b98f015c067f77c41e4b0226520e42dc9096b318ad73760
bitplane_argmax_w832_s2,bitplane_lut_argmax,sklearn_digits,bitplane_lut_digits_scale_s012_v2,2,3,paired seed,validation,0.9148148148148149,0.9111111164093018,0.0037036984055131006,0.9111111164093018,0.911111111111,18.982158528000582,2x40 block epochs,0.0140625,640,2,11,operator_audited_bool_int,0,224,pass,promote,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_argmax_w832_s2/result.json,0.7063685099283854,0.6624418497085571,0.04392666021982827,0.8888888888888888,0.8888888955116272,6.622738357719982e-09,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,c5e3029126c238cc432b69a2926cc92b39b00051691d9fa7413c6b85f85dc30f
bitplane_truth_w672_s0,bitplane_lut_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,0,3,paired seed,validation,0.8962962962962963,0.885185182094574,0.011111114201722283,0.885185182094574,0.903703703704,15.869087978993775,2x40 block epochs,0.015625,320,2,7,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_truth_w672_s0/result.json,1.0119923909505208,0.9648955464363098,0.047096844514211034,0.8740740740740741,0.8740741014480591,2.7373984967660192e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,7e27bc6b46e3f461071caa81540fc7bd67e878307b5973e93a83f51c0743eb5a
bitplane_truth_w672_s1,bitplane_lut_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,1,3,paired seed,validation,0.8814814814814815,0.8740741014480591,0.0074073800334224504,0.8740741014480591,0.892592592593,16.830524674005574,2x40 block epochs,0.01875,320,2,8,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_truth_w672_s1/result.json,1.0379731354890047,0.9977318644523621,0.040241271036642656,0.8444444444444444,0.8444444537162781,9.271833634194593e-09,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,688e601d634022499b314e9244c75e1afcb430ae1ddf8a4697885becdb7b8919
bitplane_truth_w672_s2,bitplane_lut_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,2,3,paired seed,validation,0.8518518518518519,0.8444444537162781,0.007407398135573784,0.8444444537162781,0.862962962963,15.872776608011918,2x40 block epochs,0.03125,320,2,10,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_truth_w672_s2/result.json,1.055351878978588,1.0064880847930908,0.048863794185497245,0.8333333333333334,0.8333333134651184,1.9868214962137642e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,8d7a7437de29e6b2d73e98cee8f40dabf88c734dbdb7ecf5bdf5b7e7e924278d
bitplane_truth_w832_s0,bitplane_lut_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,0,3,paired seed,validation,0.9074074074074074,0.8925926089286804,0.01481479847872702,0.8925926089286804,0.914814814815,19.042382020008517,2x40 block epochs,0.0203125,640,2,12,operator_audited_bool_int,0,224,late_validation_drop,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_truth_w832_s0/result.json,0.6998324358904803,0.6534595489501953,0.04637288694028496,0.8740740740740741,0.8740741014480591,2.7373984967660192e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,9a8ddd0ef1e582742e135419a68c808de17d79acc6ced4dd843728b8c85e7b0d
bitplane_truth_w832_s1,bitplane_lut_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,1,3,paired seed,validation,0.9,0.8999999761581421,2.384185793236071e-08,0.8999999761581421,0.914814814815,18.81210493601975,2x40 block epochs,0.01875,640,2,10,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_truth_w832_s1/result.json,0.7151326497395833,0.6638849973678589,0.05124765237172446,0.8962962962962963,0.8962963223457336,2.6049437384934038e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,22bdfa017680af87894487f848589363bb178089fe5046934bcbbda226fb422b
bitplane_truth_w832_s2,bitplane_lut_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,2,3,paired seed,validation,0.9037037037037037,0.8888888955116272,0.014814808192076478,0.8888888955116272,0.918518518519,19.3061144730018,2x40 block epochs,0.0234375,640,2,11,operator_audited_bool_int,0,224,late_validation_drop,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_truth_w832_s2/result.json,0.7854925084997106,0.6820296049118042,0.10346290358790644,0.8777777777777778,0.8777777552604675,2.2517310238612254e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,078bc597dc173817d37fa00fcc4ef850758ece12d61cb2e26614e302e1e903db
bitplane_wiring_w672_s0,bitplane_lut_wiring_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,0,3,paired seed,validation,0.8962962962962963,0.885185182094574,0.011111114201722283,0.885185182094574,0.903703703704,16.060434979997808,2x40 block epochs,0.015625,320,2,7,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_wiring_w672_s0/result.json,1.0119923909505208,0.9648955464363098,0.047096844514211034,0.8740740740740741,0.8740741014480591,2.7373984967660192e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,7e27bc6b46e3f461071caa81540fc7bd67e878307b5973e93a83f51c0743eb5a
bitplane_wiring_w672_s1,bitplane_lut_wiring_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,1,3,paired seed,validation,0.8814814814814815,0.8740741014480591,0.0074073800334224504,0.8740741014480591,0.892592592593,16.745719155995175,2x40 block epochs,0.01875,320,2,8,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_wiring_w672_s1/result.json,1.0379731354890047,0.9977318644523621,0.040241271036642656,0.8444444444444444,0.8444444537162781,9.271833634194593e-09,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,688e601d634022499b314e9244c75e1afcb430ae1ddf8a4697885becdb7b8919
bitplane_wiring_w672_s2,bitplane_lut_wiring_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,2,3,paired seed,validation,0.8518518518518519,0.8444444537162781,0.007407398135573784,0.8444444537162781,0.862962962963,16.149620218988275,2x40 block epochs,0.03125,320,2,10,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_wiring_w672_s2/result.json,1.055351878978588,1.0064880847930908,0.048863794185497245,0.8333333333333334,0.8333333134651184,1.9868214962137642e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,8d7a7437de29e6b2d73e98cee8f40dabf88c734dbdb7ecf5bdf5b7e7e924278d
bitplane_wiring_w832_s0,bitplane_lut_wiring_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,0,3,paired seed,validation,0.9074074074074074,0.8925926089286804,0.01481479847872702,0.8925926089286804,0.914814814815,18.769757409987506,2x40 block epochs,0.0203125,640,2,12,operator_audited_bool_int,0,224,late_validation_drop,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_wiring_w832_s0/result.json,0.6998324358904803,0.6534595489501953,0.04637288694028496,0.8740740740740741,0.8740741014480591,2.7373984967660192e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,9a8ddd0ef1e582742e135419a68c808de17d79acc6ced4dd843728b8c85e7b0d
bitplane_wiring_w832_s1,bitplane_lut_wiring_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,1,3,paired seed,validation,0.9,0.8999999761581421,2.384185793236071e-08,0.8999999761581421,0.914814814815,19.4274806700123,2x40 block epochs,0.01875,640,2,10,operator_audited_bool_int,0,224,pass,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_wiring_w832_s1/result.json,0.7151326497395833,0.6638849973678589,0.05124765237172446,0.8962962962962963,0.8962963223457336,2.6049437384934038e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,22bdfa017680af87894487f848589363bb178089fe5046934bcbbda226fb422b
bitplane_wiring_w832_s2,bitplane_lut_wiring_refit,sklearn_digits,bitplane_lut_digits_scale_s012_v2,2,3,paired seed,validation,0.9037037037037037,0.8888888955116272,0.014814808192076478,0.8888888955116272,0.918518518519,19.48818402600591,2x40 block epochs,0.0234375,640,2,11,operator_audited_bool_int,0,224,late_validation_drop,reject,../docs/repro/bitplane_lut_digits_v2_20260724/runs/v2_wiring_w832_s2/result.json,0.7854925084997106,0.6820296049118042,0.10346290358790644,0.8777777777777778,0.8777777552604675,2.2517310238612254e-08,0.0,95da7fc327a9d3addbd0c81639b9571040612b2f0fdfda7e7ffa7718d68bd6b2,078bc597dc173817d37fa00fcc4ef850758ece12d61cb2e26614e302e1e903db
bitplane_c100_mixed_v64_d2_s0,bitplane_lut_argmax,cifar100,bitplane_lut_cifar100_scale_s0_v1,0,1,single pre-registered screen seed,validation,0.154,0.15399999916553497,8.344650248570673e-10,0.15399999916553497,0.15399999916553497,3407.1639521020115,19+20 block epochs,0.071953125,12800,2,12,operator_audited_bool_int,0,36267,pass,baseline,../docs/repro/bitplane_lut_cifar100_scale_20260724/runs/full-flat-v64-d2-s0/result.json,3.7436427310943605,3.7270684242248535,0.016574306869507005,0.1653,0.15520000457763672,0.010099995422363284,0.00015624999650754035,91d6ac7dcb1b2c9751565b6701097072b50c7fb2fab91fee2f9b7b93263aa931,611bda5ff5bfe40357fedc5b20d6f0e57ca7294e8c84cd4276e8eab135b6c7ae
bitplane_c100_spatial_v64_d2_s0,bitplane_lut_spatial_argmax,cifar100,bitplane_lut_cifar100_scale_s0_v1,0,1,single pre-registered screen seed,validation,0.1694,0.17080000042915344,0.0014000004291534474,0.17080000042915344,0.17080000042915344,4976.362019958004,30+30 block epochs,0.066484375,12800,2,13,operator_audited_bool_int,0,36267,pass,screen,../docs/repro/bitplane_lut_cifar100_scale_20260724/runs/full-spatial-v64-d2-s0/result.json,3.624477144241333,3.615676164627075,0.008800979614257631,0.1718,0.16940000653266907,0.002399993467330941,0.0009374999790452421,91d6ac7dcb1b2c9751565b6701097072b50c7fb2fab91fee2f9b7b93263aa931,ba4a9258dcae741fa5d41fc67e8ee2a303e44806a7a99fab90322a3248e09558
bitplane_c100_spatial_v128_d2_s0,bitplane_lut_spatial_argmax,cifar100,bitplane_lut_cifar100_scale_s0_v1,0,1,single pre-registered screen seed,validation,0.2018,0.19820000231266022,0.00359999768733979,0.19820000231266022,0.19820000231266022,8823.485202446987,30+30 block epochs,0.07359375,25600,2,14,operator_audited_bool_int,0,36267,pass,screen,../docs/repro/bitplane_lut_cifar100_scale_20260724/runs/full-spatial-v128-d2-s0/result.json,3.4527293045043947,3.454364061355591,0.001634756851196073,0.2079,0.2037000060081482,0.004199993991851808,0.0003124999930150807,91d6ac7dcb1b2c9751565b6701097072b50c7fb2fab91fee2f9b7b93263aa931,45d7bcbcefbff46e0cae3006d05fff093b789f0847101d32980ea51e2857acf0
bitplane_c100_spatial_v128_d4_s0,bitplane_lut_spatial_argmax,cifar100,bitplane_lut_cifar100_scale_s0_v1,0,1,single pre-registered screen seed,validation,0.2068,0.19900000095367432,0.007799999046325695,0.19900000095367432,0.19900000095367432,14492.501615523972,30+30+15+26 block epochs,0.1142578125,51200,4,14,operator_audited_bool_int,0,65469,pass,screen,../docs/repro/bitplane_lut_cifar100_scale_20260724/runs/full-spatial-v128-d4-s0/result.json,3.4157996505737303,3.4327070713043213,0.01690742073059104,0.2114,0.20720000565052032,0.00419999434947968,0.0,91d6ac7dcb1b2c9751565b6701097072b50c7fb2fab91fee2f9b7b93263aa931,82351824de758099b834d142a6e005dd9b8db32ffd78475150a9f9ba8adaa981
bitplane_c100_spatial_v256_d4_s0,bitplane_lut_spatial_argmax,cifar100,bitplane_lut_cifar100_scale_s0_v1,0,1,single pre-registered screen seed,validation,0.2184,0.21819999814033508,0.00020000185966492778,0.21819999814033508,0.21819999814033508,21303.45432932698,30+21+18+17 block epochs,0.124404296875,102400,4,20,operator_audited_bool_int,0,65469,pass,screen,../docs/repro/bitplane_lut_cifar100_scale_20260724/runs/full-spatial-v256-d4-s0/result.json,3.351554071807861,3.332369089126587,0.01918498268127422,0.2238,0.2125999927520752,0.011200007247924804,0.0,91d6ac7dcb1b2c9751565b6701097072b50c7fb2fab91fee2f9b7b93263aa931,c5bb9f60a5762e1fbed63faf813e4df2c2088de2cae1b481237d8c3bb5d732d0
bitplane_shakespeare_smoke_mixed_v32_d2_s0,bitplane_lut_sequence_mixed_argmax,tiny_shakespeare_char,bitplane_lut_shakespeare_char_scale_s0_v1,0,1,single pre-registered feasibility seed,validation,0.2308,0.25825,0.027449999999999974,0.25825,0.25825,122.6843662429601,4+4 block epochs on 20000 windows,0.022115384615384617,4160,2,18,operator_audited_bool_int,0,39192,pass,baseline,../docs/repro/bitplane_lut_shakespeare_char_20260724/runs/smoke-mixed-v32-d2-s0/result.json,2.94233236579895,2.763379954147339,0.17895241165161124,0.22672602592180374,0.25586112806519945,0.029135102143395708,0.19423076510429382,02dc8f5313c8ad3e15fcf52a70104be5459c785c86a0d1c56ff9ff1f9ccb8162,7908c51011ac260294b6abdd83e62ae1f84e3d6644b341aa0fd8ba6b61a1df7c
bitplane_shakespeare_smoke_causal_v32_d2_s0,bitplane_lut_sequence_causal_argmax,tiny_shakespeare_char,bitplane_lut_shakespeare_char_scale_s0_v1,0,1,single pre-registered feasibility seed,validation,0.2591,0.2899,0.030799999999999994,0.2899,0.2899,123.80756862810813,4+4 block epochs on 20000 windows,0.016826923076923076,4160,2,100,operator_audited_bool_int,0,39192,pass,screen,../docs/repro/bitplane_lut_shakespeare_char_20260724/runs/smoke-causal-v32-d2-s0/result.json,2.902787559509277,2.6991745735168458,0.20361298599243138,0.2579793918069867,0.2849962302085951,0.0270168384016084,0.17884615063667297,02dc8f5313c8ad3e15fcf52a70104be5459c785c86a0d1c56ff9ff1f9ccb8162,b747cb5f4883f277c42efb64f8f443721cf708cd7a2d84622677e1e89bdfd1cf
